eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.05,3,3,0.8,0.9,104,5.1162194,0.6942454960418256
0.1,3,3,0.8,0.9,60,5.0008778,0.7068167557404631
0.3,3,3,0.8,0.9,23,5.42471,0.6475178412815034
0.01,5,3,0.8,0.9,454,5.1820992,0.6867700624371974
0.05,5,3,0.8,0.9,102,5.1309054000000005,0.6966511019469901
0.1,5,3,0.8,0.9,59,5.2026015999999995,0.6866997087759485
0.3,5,3,0.8,0.9,18,5.2695468,0.6700935437375551
0.01,10,3,0.8,0.9,491,5.1978146,0.684265850200509
0.05,10,3,0.8,0.9,102,5.121168,0.6984111832373492
0.1,10,3,0.8,0.9,60,5.1182102,0.6957289002941771
0.3,10,3,0.8,0.9,18,5.5405046,0.6362696344447871
0.01,1,5,0.8,0.9,465,5.28212,0.6669099419521141
0.05,1,5,0.8,0.9,91,5.356432,0.6568206500375736
0.1,1,5,0.8,0.9,83,5.2229301999999995,0.6748870298869134
0.3,1,5,0.8,0.9,31,5.2507708,0.6715137521881877
0.01,3,5,0.8,0.9,452,5.0635428000000005,0.6936250319314545
0.05,3,5,0.8,0.9,78,5.0444058,0.7017935232510639
0.1,3,5,0.8,0.9,56,4.9781074,0.7017134656686774
0.3,3,5,0.8,0.9,16,5.1039102,0.6875282767648008
0.01,5,5,0.8,0.9,466,5.0788986,0.6932199976107914
0.05,5,5,0.8,0.9,93,5.0832506,0.6927918223840404
0.1,5,5,0.8,0.9,55,5.0967611999999995,0.68977117265347
0.3,5,5,0.8,0.9,16,4.9703606,0.7081055958247987
0.01,10,5,0.8,0.9,465,5.0821452,0.6929060285439261
0.05,10,5,0.8,0.9,83,5.1102718,0.6925617899147797
0.1,10,5,0.8,0.9,60,5.0954714,0.687664441256901
0.3,10,5,0.8,0.9,15,4.9752712,0.7087703275375623
0.01,1,7,0.8,0.9,626,5.1924858,0.6747662584737695
0.05,1,7,0.8,0.9,124,5.3045906,0.6616028672710065
0.1,1,7,0.8,0.9,58,5.295921,0.6606079931227677
0.3,1,7,0.8,0.9,27,5.2525304,0.6725635111071533
0.01,3,7,0.8,0.9,453,5.0682848,0.6921540328345706
0.05,3,7,0.8,0.9,94,5.114467,0.6883090522367201
0.1,3,7,0.8,0.9,45,5.12192,0.6862289149646498
0.3,3,7,0.8,0.9,15,5.3884022,0.6581173941197036
0.01,5,7,0.8,0.9,454,5.0834436,0.6914447566017536
0.05,5,7,0.8,0.9,94,5.1458606,0.687704101673296
0.1,5,7,0.8,0.9,39,5.2009624,0.6830652353864297
0.3,5,7,0.8,0.9,17,5.1410542,0.6887192232121478
0.01,10,7,0.8,0.9,454,5.079904,0.692038819524954
0.05,10,7,0.8,0.9,93,5.1515574,0.6869034326691515
0.1,10,7,0.8,0.9,39,5.18016,0.6846891072787851
0.3,10,7,0.8,0.9,17,5.1072158,0.6951233856295527
0.01,1,1,1,0.9,503,5.4246188,0.6511808806286805
0.05,1,1,1,0.9,93,5.427636,0.6519779016586527
0.1,1,1,1,0.9,71,5.3893762,0.6531921670372783
0.3,1,1,1,0.9,20,5.4226756,0.6549748297637379
0.01,3,1,1,0.9,601,5.452506,0.653726364831664
0.05,3,1,1,0.9,120,5.4027242,0.6602047145844017
0.1,3,1,1,0.9,56,5.3433122,0.6656314823546743
0.3,3,1,1,0.9,20,5.679990800000001,0.631453779180861
0.01,5,1,1,0.9,480,5.806375,0.6169468111381222
0.05,5,1,1,0.9,238,5.740404,0.6281410974066703
0.1,5,1,1,0.9,126,5.521569,0.6435109319974482
0.3,5,1,1,0.9,16,5.774157,0.6277015141466709
0.01,10,1,1,0.9,849,5.8856642,0.6069591296676706
0.05,10,1,1,0.9,421,5.8830462,0.6116576856518104
0.1,10,1,1,0.9,82,5.4797858,0.649413336912854
0.3,10,1,1,0.9,52,5.7024528,0.6388847430217195
0.01,1,3,1,0.9,559,5.4061788,0.6527465450287467
0.05,1,3,1,0.9,133,5.3844028,0.6551723695090841
0.1,1,3,1,0.9,75,5.3692152,0.6564335289246156
0.3,1,3,1,0.9,20,5.4140494,0.6568220447448612
0.01,3,3,1,0.9,498,5.2934232,0.6744489498478264
0.05,3,3,1,0.9,117,5.2629095999999995,0.677791591867725
0.1,3,3,1,0.9,62,5.328485,0.6703205094424299
0.3,3,3,1,0.9,22,5.2859810000000005,0.680629399799886
0.01,5,3,1,0.9,428,5.4254588,0.6630157620925526
0.05,5,3,1,0.9,120,5.3676996,0.6694188232054632
0.1,5,3,1,0.9,57,5.39912,0.6630643725728013
0.3,5,3,1,0.9,15,5.4643078,0.6574832734065218
0.01,10,3,1,0.9,526,5.2885568,0.6766606980242095
0.05,10,3,1,0.9,88,5.3401202,0.6727583785142282
0.1,10,3,1,0.9,48,5.3423932,0.6686043664531724
0.3,10,3,1,0.9,12,5.4821704,0.6625389720202898
0.01,1,5,1,0.9,543,5.395509,0.6539176235357417
0.05,1,5,1,0.9,142,5.3636698,0.6563774564930618
0.1,1,5,1,0.9,60,5.3682376000000005,0.6561299076637331
0.3,1,5,1,0.9,22,5.4316458,0.6523675363667988
0.01,3,5,1,0.9,563,5.1784554,0.6803646634375411
0.05,3,5,1,0.9,102,5.2414374,0.674394342999427
0.1,3,5,1,0.9,67,5.1795516,0.6807196917265995
0.3,3,5,1,0.9,16,5.1416346,0.6899591196195718
0.01,5,5,1,0.9,728,5.1510978,0.6829139027678411
0.05,5,5,1,0.9,127,5.2367796,0.6730822254750494
0.1,5,5,1,0.9,80,5.1530654,0.6814839845296503
0.3,5,5,1,0.9,17,4.9729149999999995,0.7063956256842259
0.01,10,5,1,0.9,475,5.242939,0.6753739167648303
0.05,10,5,1,0.9,137,5.2949246,0.6665237402803049
0.1,10,5,1,0.9,95,5.1955744,0.6774319989776185
0.3,10,5,1,0.9,34,5.112943,0.6932083014798062
0.01,1,7,1,0.9,800,5.2707866,0.6655709467197972
0.05,1,7,1,0.9,172,5.2627524,0.6665472597980103
0.1,1,7,1,0.9,91,5.2682248,0.6661335716146428
0.3,1,7,1,0.9,26,5.3856474,0.6570218104052254
0.01,3,7,1,0.9,478,5.2953506,0.6670893990696204
