layers,neurons,epochs,batch.size,regularization,selection,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
2,5,50,10,NA,0,28.233002640990588,54.56511033853856,3.5314601042395197,5.48430837589035,0.7943019633606044,0.6146726752343507
3,5,50,10,NA,0,26.715658704486184,201.2222978302481,3.4797002214443595,10.256976616832585,0.7980671793351307,0.18180970701043153
4,5,50,10,NA,0,26.521929724436145,60.71776796869265,3.309734211149055,5.716497867364317,0.8039167042612758,0.5823299381119793
1,10,50,10,NA,0,26.696144024802155,51.14173836073344,3.372966561665714,5.258547459061597,0.8214026765286412,0.6446006384031859
2,10,50,10,NA,0,19.56531778210979,52.186698064999774,2.8640169543234246,5.2524697571798775,0.857897175021714,0.639695314211732
3,10,50,10,NA,0,20.74943102073743,57.78171270972929,2.8669785245484123,5.660528168950938,0.8482050443189274,0.6145086603603304
4,10,50,10,NA,0,27.692379767551106,58.40298400469033,3.4376494960631163,5.51497201633635,0.8310200432277587,0.5895699426388585
1,20,50,10,NA,0,22.553277676576368,58.44720593027338,3.196756817108526,5.701025784011111,0.858276208027881,0.6012361932211977
2,20,50,10,NA,0,15.622535365834407,56.15577598535484,2.48712751322046,5.542142711255973,0.8843049929875797,0.6271541243383499
3,20,50,10,NA,0,14.157958114474505,55.77911528622288,2.373758771102607,5.463088771142561,0.8944401635484044,0.6166142522411797
4,20,50,10,NA,0,14.659074913550231,60.98794288627055,2.502074263583826,5.667921797373743,0.9109507893012985,0.5762559329487735
1,50,50,10,NA,0,15.439820589573356,57.786021398324316,2.542932476936385,5.65160584098715,0.8862803719886388,0.6051951066212409
2,50,50,10,NA,0,11.503838797305251,58.77738044669258,2.12377112926318,5.545399607505034,0.9164098576805803,0.5909738029030415
3,50,50,10,NA,0,10.43061112355693,60.51913514879725,2.1988856564958836,5.762733908672985,0.9225439360451487,0.5845203059325552
4,50,50,10,NA,0,12.159375042950035,58.57387626825819,2.248154822067043,5.483357652147439,0.9303982728453253,0.5863462557680845
1,100,50,10,NA,0,14.642881420967298,56.7256741474461,2.543944404804984,5.590687924080557,0.9104645965519189,0.6080469125911792
2,100,50,10,NA,0,14.248289999224143,58.093807129613715,2.501560050882012,5.702139261005697,0.9216321335092674,0.5856225313382114
3,100,50,10,NA,0,13.630507158628777,59.9057211451896,2.4975267938038614,5.520366439430569,0.9316754432611437,0.5798959453201877
4,100,50,10,NA,0,12.130131927181523,51.10578274330659,2.3262051322844974,5.1849520293702716,0.9345595168605996,0.6292687828405111
1,200,50,10,NA,0,11.173190961640291,53.05412191465747,2.1427044156658708,5.574433778318618,0.9166975671419584,0.626677144582743
2,200,50,10,NA,0,7.84180217709265,55.55989314713725,1.9191578265445353,5.5352352825151385,0.9460666977543983,0.6080781267633915
3,200,50,10,NA,0,9.821524121340785,52.473331302894586,2.015535000207771,5.336439302375268,0.9287933613228346,0.6215654914384784
4,200,50,10,NA,0,7.802638931641312,52.262313201926354,1.7808378938083422,5.310240833432846,0.9431901389267652,0.6257423899681984
1,5,25,20,NA,0,34.241324439268915,54.69282697191828,4.108914493884383,5.458623397055681,0.7445160151827525,0.6106921548778644
2,5,25,20,NA,0,39.11432292586272,50.41655945284497,4.307738154139066,5.289338112580458,0.7144725872212709,0.6327609288205
3,5,25,20,NA,0,49.10293848265536,53.607431475490365,4.970086105009217,5.425824251027938,0.6630979822387534,0.6111926509220347
4,5,25,20,NA,0,34.0211159501717,63.66681589204472,4.064965121679372,5.991832072381818,0.7474992879112313,0.5381823865383467
1,10,25,20,NA,0,27.57051977288098,54.59014411977834,3.6170950651131197,5.478568449036582,0.7906961762046784,0.6144489314902987
2,10,25,20,NA,0,30.746946455183245,49.79176652068959,3.7357920218908376,5.150229134391596,0.7692390993691545,0.6396286626212352
3,10,25,20,NA,0,27.5661166396229,53.48270263827669,3.449643072706437,5.393523893964781,0.7972239058062218,0.6261460355825897
4,10,25,20,NA,0,32.051982225232514,49.45168434487628,3.7778670968156494,5.126376021211714,0.7984535183999091,0.6379839853232997
1,20,25,20,NA,0,28.482966987817015,52.157503440345494,3.5758391330148904,5.2468495044031265,0.7974248748560008,0.629118642196749
2,20,25,20,NA,0,33.26233516136935,52.89829812802145,3.848587660476162,5.3462798110603895,0.8188063932313251,0.6330402581487873
3,20,25,20,NA,0,20.98750287535736,51.06229816401513,2.970379446185555,5.185147712410041,0.841908125873576,0.6384544576946718
4,20,25,20,NA,0,20.719322463414564,55.890214650756214,2.9821020143235977,5.567392700857097,0.8482423138460308,0.6149177275186716
1,50,25,20,NA,0,23.9875576241815,51.90824513712835,3.1960315462755573,5.328600772235683,0.821347969613824,0.6348428219511667
2,50,25,20,NA,0,16.852307733876298,57.16740759455559,2.7461820433473205,5.556775328591363,0.8723619907631686,0.5956668332855226
3,50,25,20,NA,0,14.555914108296072,61.70210149943514,2.680484487134262,5.889600818926482,0.8920470357937192,0.5735378480767402
