selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
TRUE,0.05, 1,200,0.70,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,200,0.70,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,200,0.70,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1,200,0.70,0.50,gbdt,842,8.67779653739386
TRUE,0.30, 1,200,0.70,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,200,0.70,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,200,0.70,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,200,0.70,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3,200,0.70,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,200,0.70,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,200,0.70,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,200,0.70,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,200,0.70,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,200,0.70,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,200,0.70,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5,200,0.70,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,200,0.70,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,200,0.70,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,200,0.70,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,200,0.70,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5,200,0.70,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5,200,0.70,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8,200,0.70,0.50,gbdt,1000,7.411312745390915
FALSE,0.01, 8,200,0.70,0.50,gbdt,1000,7.56536143895574
TRUE,0.05, 8,200,0.70,0.50,gbdt,998,7.1968139196319605
FALSE,0.05, 8,200,0.70,0.50,gbdt,946,7.402084582717792
TRUE,0.10, 8,200,0.70,0.50,gbdt,846,7.2461202134239535
FALSE,0.10, 8,200,0.70,0.50,gbdt,714,7.523293946013187
TRUE,0.30, 8,200,0.70,0.50,gbdt,158,7.6713632468518345
